2025-12-20T00:45:44.774511+0700 | INFO | 12452 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:44.776026+0700 | DEBUG | 12452 | <module> | Loaded configuration: {'Mapdrive': [{'name': 'DC', 'path': 'C:\\\\DC'}, {'name': 'DR', 'path': 'C:\\\\DR'}, {'name': 'Archive', 'path': 'C:\\\\Archive'}], 'Port_Server': 8080, 'Max_Workers': 4, 'log_Level': 'DEBUG', 'Log_Console': 1, 'log_Backup': 90, 'Log_Size': '10 MB'}
2025-12-20T00:45:44.910953+0700 | ERROR | 31048 | emit | Error loading ASGI app. Could not import module "main".
2025-12-20T00:45:44.924399+0700 | ERROR | 4216 | emit | Error loading ASGI app. Could not import module "main".
2025-12-20T00:45:44.981268+0700 | ERROR | 25748 | emit | Error loading ASGI app. Could not import module "main".
2025-12-20T00:45:44.990769+0700 | ERROR | 12452 | emit | Error loading ASGI app. Could not import module "main".
2025-12-20T00:45:45.339178+0700 | INFO | 20972 | emit | Waiting for child process [35552]
2025-12-20T00:45:45.340170+0700 | INFO | 20972 | emit | Child process [35552] died
2025-12-20T00:45:45.364188+0700 | INFO | 20972 | emit | Waiting for child process [38628]
2025-12-20T00:45:45.365183+0700 | INFO | 20972 | emit | Child process [38628] died
2025-12-20T00:45:45.393298+0700 | INFO | 20972 | emit | Waiting for child process [8668]
2025-12-20T00:45:45.394297+0700 | INFO | 20972 | emit | Child process [8668] died
2025-12-20T00:45:45.429692+0700 | INFO | 20972 | emit | Waiting for child process [6752]
2025-12-20T00:45:45.430691+0700 | INFO | 20972 | emit | Child process [6752] died
